influencer_insta_name,instagram_name,category_1,category_2,followers,audience_country_mostly,authentic_engagement,engagement_avg
433,433,Sports with a ball,NA,48500000,Spain,383100,637000
__youngbae__,TAEYANG,Music,NA,12700000,Indonesia,478000,542300
_agentgirl_,НАСТЯ ИВЛЕЕВА,Shows,NA,18800000,Russia,310800,377900
_imyour_joy,Joy,Lifestyle,NA,13500000,Indonesia,1100000,1400000
_jeongjaehyun,Jaehyun,NA,NA,11100000,Indonesia,2500000,3100000
_mariahwasa,HWASA,NA,NA,7900000,Brazil,915100,1200000
_rl9,Robert Lewandowski,Sports with a ball,NA,2.5e+07,Poland,588600,749000
_seorina,설인아 sᴇᴏʀɪɴᴀ,Lifestyle,Cinema & Actors/actresses,3e+06,South Korea,803900,997800
_shotaroo_,SHOTARO ショウタロウ,NA,NA,4900000,Indonesia,860100,1100000
03_hu,박지후,NA,NA,4100000,South Korea,711000,872600
21savage,NA,Music,NA,13200000,United States,263500,462000
333cyj333,Ars 🎗,Music,NA,6500000,Thailand,359300,427700
3gerardpique,Gerard Piqué,Sports with a ball,NA,19800000,Spain,446100,658800
50cent,50 Cent,Music,NA,27900000,United States,177500,283200
9gag,9GAG: Go Fun The World,Humor & Fun & Happiness,NA,58300000,Indonesia,214700,276900
abdevilliers17,AB de Villiers,Sports with a ball,Lifestyle,17200000,India,534000,615900
aboflah,AboFlah,Humor & Fun & Happiness,NA,7200000,Iraq,793400,949400
achrafhakimi,Achraf Hakimi,Sports with a ball,NA,8800000,Morocco,520000,764500
actorleeminho,이민호 leeminho,Cinema & Actors/actresses,NA,28900000,Indonesia,2800000,3700000
actorprabhas,Prabhas,NA,NA,8200000,India,482200,540200
actorsuriya,Suriya Sivakumar,NA,NA,4100000,India,491300,637700
acunilicali,Acun Ilıcalı,Cinema & Actors/actresses,NA,13600000,Turkey,233800,286300
adamsandler,Adam Sandler,Cinema & Actors/actresses,NA,12700000,United States,395900,503900
addisonraee,NA,Beauty,NA,40500000,United States,1100000,1600000
adele,Adele,Music,NA,49700000,United States,2600000,3600000
adidasoriginals,adidas Originals,Clothing & Outfits,Shopping & Retail,34200000,United States,52400,71800
adinross,NA,NA,NA,2600000,United States,551100,1100000
